Name,Owner,Desc,url,forks,stars,watches,created_at
vm-operator,acharyasreej,,https://github.com/acharyasreej/vm-operator,0,0,1,2022-04-25
eapol-operator,openshift-kni,An 802.1x authentication operator for Kubernetes,https://github.com/openshift-kni/eapol-operator,2,0,8,2022-04-07
okta-operator,jaconi-io,,https://github.com/jaconi-io/okta-operator,0,0,1,2022-04-26
controlplane-operator,Rahul-D78,An operator design to handle the control plane failures,https://github.com/Rahul-D78/controlplane-operator,0,0,2,2022-04-28
memcached-operator,alisaazimova,,https://github.com/alisaazimova/memcached-operator,0,0,1,2022-04-05
keycloak-operator,rohankumardubey,,https://github.com/rohankumardubey/keycloak-operator,0,0,1,2022-04-07
Operator-study,devnjw,Studying Kubernetes CRD with Operator SDK,https://github.com/devnjw/Operator-study,0,0,1,2022-04-13
etcd-operator,tqtcloud,kubebuilder 构建的一个etcd集群项目,https://github.com/tqtcloud/etcd-operator,0,0,1,2022-04-13
demo-operator,slintes,Just a Hello World operator for demos,https://github.com/slintes/demo-operator,0,0,1,2022-04-27
gpu-operator,rohankumardubey,,https://github.com/rohankumardubey/gpu-operator,0,0,1,2022-04-28
operator-demo,wangchanggan,,https://github.com/wangchanggan/operator-demo,0,0,1,2022-04-07
tikv-operator,tvducmt,,https://github.com/tvducmt/tikv-operator,1,1,1,2022-04-06
dataflow-operator,StepOnce7,an operator demo of which dataflow engine  running in kubernetes,https://github.com/StepOnce7/dataflow-operator,0,1,1,2022-04-28
cm-operator,Nadavbm,,https://github.com/Nadavbm/cm-operator,0,0,1,2022-04-07
sample-operator,luckymrwang,本文作为 Kubebuilder 教程，将指导您如何使用 kubebuilder 创建一个 Kubernetes Operator。,https://github.com/luckymrwang/sample-operator,0,0,2,2022-04-19
at-operator,mrunesson,Operator for Kubernetes to provide a resource to mmimic the Unix/Linux command at.,https://github.com/mrunesson/at-operator,0,0,2,2022-05-01
dkron-operator,BuddieWei,operator to deploy dkron cluster in kubernetes,https://github.com/BuddieWei/dkron-operator,0,0,1,2022-04-22
operator-example,Ashwin901,,https://github.com/Ashwin901/operator-example,0,0,1,2022-04-08
demo-operator,solidcellaMoon,,https://github.com/solidcellaMoon/demo-operator,0,0,1,2022-04-23
sf-operator,softwarefactory-project,,https://github.com/softwarefactory-project/sf-operator,0,1,8,2022-04-27
registry-operator,Jaxwood,A Kubernetes Operator that sync an image pull secret across namespaces,https://github.com/Jaxwood/registry-operator,0,0,1,2022-04-29
OPERATOR-EXAMPLE,spbravo,,https://github.com/spbravo/OPERATOR-EXAMPLE,0,0,1,2022-04-03
sample-operator,AaronMegs,Base sample for a custom controller in Kubernetes working with custom resources. Operator=CRD+CustomController,https://github.com/AaronMegs/sample-operator,0,0,2,2022-04-02
memcached-operator,yeganeahmadnejad,,https://github.com/yeganeahmadnejad/memcached-operator,0,0,1,2022-04-15
rocketmq-operator,lanzhiwang,,https://github.com/lanzhiwang/rocketmq-operator,0,0,2,2022-04-25
sleuth-operator,sleuth-io-integrations,,https://github.com/sleuth-io-integrations/sleuth-operator,0,1,0,2022-05-01
memcached-operator,zhouxinyu1cp,k8s operator 测试项目,https://github.com/zhouxinyu1cp/memcached-operator,1,1,1,2022-04-08
app-operator,daviderli614,,https://github.com/daviderli614/app-operator,0,0,1,2022-04-10
team-operator,yeganeahmadnejad,,https://github.com/yeganeahmadnejad/team-operator,0,0,1,2022-04-18
memcached-operator,cao2358,,https://github.com/cao2358/memcached-operator,0,0,1,2022-04-29
sample-operator,LiangquanLi930,,https://github.com/LiangquanLi930/sample-operator,0,1,2,2022-04-04
operator-go,spbravo,,https://github.com/spbravo/operator-go,0,0,1,2022-04-05
kong-config,pyfdtic,"use kubernetes operator to manager kong route , service and plugins",https://github.com/pyfdtic/kong-config,0,0,1,2022-04-27
kubernetes-operator-assignment,danalexandru,Repository containing interview project assignment,https://github.com/danalexandru/kubernetes-operator-assignment,0,0,1,2022-05-01
kubernetes-operator-go,wasimwazi,The goal of this project is developing an operator that deploys an application and operates it on top of Kubernetes using a custom resource,https://github.com/wasimwazi/kubernetes-operator-go,0,0,1,2022-04-02
operator-sdk-demo,maxkononets,,https://github.com/maxkononets/operator-sdk-demo,0,0,2,2022-04-18
cita-node-operator,cita-cloud,,https://github.com/cita-cloud/cita-node-operator,0,0,3,2022-04-06
hub-of-hubs-operator,stolostron,The operator of Hub-of-Hubs (see https://github.com/stolostron/hub-of-hubs),https://github.com/stolostron/hub-of-hubs-operator,0,0,1,2022-04-13
nchc-template-operator,ogre0403,,https://github.com/ogre0403/nchc-template-operator,0,0,1,2022-04-15
confluent-cloud-operator,andreracz,,https://github.com/andreracz/confluent-cloud-operator,0,0,0,2022-04-28
ingress-manager-operator,haobinfei,用于自动创建nginx类型ingress的operator,https://github.com/haobinfei/ingress-manager-operator,0,0,1,2022-04-27
distributed-cowboys-operator,josefkarasek,,https://github.com/josefkarasek/distributed-cowboys-operator,0,0,1,2022-04-24
analytical-platform-tools-operator,ministryofjustice,Kubernetes operator to deploy tools for the Analytical Platform Control Panel.,https://github.com/ministryofjustice/analytical-platform-tools-operator,0,0,6,2022-04-19
custom-helm-operator,sandeshlmore,,https://github.com/sandeshlmore/custom-helm-operator,0,1,1,2022-04-08
vector-logs-operator,javdet,,https://github.com/javdet/vector-logs-operator,0,0,1,2022-04-09
managedclusters-lifecycle-operator,redhat-ztp,,https://github.com/redhat-ztp/managedclusters-lifecycle-operator,1,0,7,2022-04-19
test-webhook-operator,johnbieren,,https://github.com/johnbieren/test-webhook-operator,0,0,2,2022-04-26
operator-resource-mapping,enlinxu,"Operator Resource Mapping (ORM) is a mechanism to allow Kubeturbo to manage resources in an Operator managed Kubernetes cluster, for example to vertically scale containers or horizontally scale pods.",https://github.com/enlinxu/operator-resource-mapping,0,1,1,2022-04-13
service-ingress-operator,yanmxa,,https://github.com/yanmxa/service-ingress-operator,0,0,1,2022-04-21
era-k8s-operator,grdavies,,https://github.com/grdavies/era-k8s-operator,0,0,1,2022-04-22
k8s-operator-sample,mstrielnikov,,https://github.com/mstrielnikov/k8s-operator-sample,0,0,1,2022-04-06
imgscanner,ricardomaraschini,Image Scanner AddOn For Shipwright Image Operator,https://github.com/ricardomaraschini/imgscanner,0,0,1,2022-04-05
k8s-operator-CascadeJob,Randsw,Kubernetes Operator for Cascade Job starting,https://github.com/Randsw/k8s-operator-CascadeJob,0,0,1,2022-04-14
upgradechannel-discovery,rancher-sandbox,Upgrade channel discovery image for rancheros-operator,https://github.com/rancher-sandbox/upgradechannel-discovery,1,1,5,2022-04-11
k8s-operator-demo-volume,neerajjose,,https://github.com/neerajjose/k8s-operator-demo-volume,0,0,1,2022-04-03
depkon,akankshakumari393,Kubernetes Operator that syncs configMap with deployment envVariable,https://github.com/akankshakumari393/depkon,0,0,1,2022-05-01
elasticweb,aaahy,a simple operator to aotoscale pod count by tps,https://github.com/aaahy/elasticweb,0,0,1,2022-04-25
CDN-Manager,Red-Coat,A Controller for Kubernetes to manage external CDN Distributions,https://github.com/Red-Coat/CDN-Manager,0,2,2,2022-04-03
k8s-sample-controller,gain620,This is a sample project implementing custom k8s controller using operator-sdk,https://github.com/gain620/k8s-sample-controller,0,0,1,2022-04-28
snapshotter,hdkshingala,A Kubernetes operator which creates VolumeSnapshot based on the inputs provided by the user in the CRD.,https://github.com/hdkshingala/snapshotter,0,0,1,2022-04-27
helm-locker,macedogm,A Kubernetes operator that prevents resource drift on Kubernetes objects that are tracked by Helm 3 releases,https://github.com/macedogm/helm-locker,0,1,1,2022-04-26
trivy-operator,aquasecurity,Kubernetes-native security toolkit,https://github.com/aquasecurity/trivy-operator,90,441,6,2022-05-08
open-feature-operator,open-feature,A Kubernetes feature flag operator,https://github.com/open-feature/open-feature-operator,17,61,5,2022-05-26
elemental-operator,rancher,The Elemental operator is responsible for managing the OS versions and maintaining a machine inventory to assist with edge or baremetal installations.,https://github.com/rancher/elemental-operator,10,10,11,2022-05-25
spicedb-operator,authzed,Kubernetes controller for managing instances of SpiceDB,https://github.com/authzed/spicedb-operator,6,30,3,2022-05-11
operator,gingersnap-project,,https://github.com/gingersnap-project/operator,4,2,2,2022-05-27
trivy-operator-polr-adapter,fjogeleit,Creates PolicyReports based on the different Trivy Operator CRDs like VulnerabilityReports,https://github.com/fjogeleit/trivy-operator-polr-adapter,4,35,3,2022-05-29
aws-vpce-operator,openshift,Operator to manage AWS VPC Endpoints on OpenShift,https://github.com/openshift/aws-vpce-operator,10,3,12,2022-06-01
argocd-complementary-operator,snapp-incubator,,https://github.com/snapp-incubator/argocd-complementary-operator,5,14,6,2022-05-15
krossboard-kubernetes-operator,2-alchemists,"Kubernetes Operator to handle cross-site, cross-distribution & multi-Kubernetes usage tracking, analytics and accounting (vanilla Kubernetes, OpenShift, EKS, AKS, GKE and other distros).",https://github.com/2-alchemists/krossboard-kubernetes-operator,2,25,3,2022-05-16
kaoto-operator,KaotoIO,The Kubernetes operator that helps with running Kaoto in K8s clusters,https://github.com/KaotoIO/kaoto-operator,5,2,4,2022-05-24
headscale-operator,guilhem,A Kubernetes Operator to instanciate and control headscale instances,https://github.com/guilhem/headscale-operator,2,15,1,2022-05-31
terra-operator,terra-rebels,,https://github.com/terra-rebels/terra-operator,2,11,0,2022-05-27
reforma,prosimcorp,Kubernetes operator to patch resources with information from other resources,https://github.com/prosimcorp/reforma,1,43,1,2022-05-04
deployment_operator,Rahul-D78,This operator is design to automate the deployments. I have different set of APIs for handling different deployments,https://github.com/Rahul-D78/deployment_operator,2,0,2,2022-05-02
redis-cluster-operator,ContainerSolutions,A Kubernetes Operator for running Production Redis Clusters,https://github.com/ContainerSolutions/redis-cluster-operator,1,6,4,2022-05-04
ccloud-cluster-operator,kubbee,,https://github.com/kubbee/ccloud-cluster-operator,0,4,1,2022-05-07
ccloud-messaging-topology-operator,kubbee,,https://github.com/kubbee/ccloud-messaging-topology-operator,0,4,1,2022-05-12
operator,ubogdan,Example of Kubernetes operator that helps secure deployment of a web application.,https://github.com/ubogdan/operator,0,0,1,2022-05-14
skiperator,kartverket,A Kubernetes operator for setting up a project from scratch,https://github.com/kartverket/skiperator,1,7,4,2022-05-03
demo-operator,FLM210,,https://github.com/FLM210/demo-operator,0,2,1,2022-05-08
lustre-fs-operator,NearNodeFlash,Near Node Flash lustre filesystem operator,https://github.com/NearNodeFlash/lustre-fs-operator,0,2,0,2022-05-12
visitors-operator,majguo,A Go based Kubernetes Operator.,https://github.com/majguo/visitors-operator,0,0,1,2022-05-26
k8s-operators-memcached-operator,paragor,github.com/paragor/k8s-operators-memcached-operator,https://github.com/paragor/k8s-operators-memcached-operator,0,0,1,2022-05-28
gslb-controller,snapp-incubator,A GSLB controller for providing multi DC highly available DNS records with healthchecks.,https://github.com/snapp-incubator/gslb-controller,0,7,6,2022-05-09
echo-operator,Darkness4,"A ""echo"" Kubernetes Operator based on Operator SDK.",https://github.com/Darkness4/echo-operator,0,0,2,2022-05-14
k8s-operators-deployment-operator,paragor,,https://github.com/paragor/k8s-operators-deployment-operator,0,0,1,2022-05-28
it-works,tkircsi,A simple k8s operator,https://github.com/tkircsi/it-works,0,0,1,2022-05-10
opensearch-operator,preved911,OpenSearch kubernetes operator implementation,https://github.com/preved911/opensearch-operator,0,0,2,2022-05-02
core-operator,BitCloud-Live,Meson network k8s operator,https://github.com/BitCloud-Live/core-operator,0,1,1,2022-06-01
b_demo,ylinyang,client-go and operator,https://github.com/ylinyang/b_demo,1,0,1,2022-05-08
memcached-operator,michael-goe,Kubernetes operator for memcached,https://github.com/michael-goe/memcached-operator,0,0,1,2022-05-09
operator-demo,newpi6,"k8s operator, use kubebuilder",https://github.com/newpi6/operator-demo,0,0,1,2022-05-25
storage-consumer-operator,jarrpa,OpenShift Storage Consumer Operator,https://github.com/jarrpa/storage-consumer-operator,1,0,2,2022-05-27
operator-example,Andriydangli,,https://github.com/Andriydangli/operator-example,0,0,1,2022-05-28
foundryvtt-operator,droideck,,https://github.com/droideck/foundryvtt-operator,0,0,2,2022-05-02
prometheus-operator,marcosQuesada,"Prometheus Server deployer operator, it deploys a basic Prometheus Stack at Kubernetes Cluster based on a new CRD called Prometheus Server, which defines Prometheus version and config.",https://github.com/marcosQuesada/prometheus-operator,0,0,1,2022-05-03
operator-imooc,matthewei,,https://github.com/matthewei/operator-imooc,0,0,1,2022-05-11
memcached-operator,flopotok,Based on Quickstart for Go-based Operators https://sdk.operatorframework.io/docs/building-operators/golang/quickstart/,https://github.com/flopotok/memcached-operator,0,1,1,2022-05-20
hf_operator,zfffl,,https://github.com/zfffl/hf_operator,0,0,1,2022-05-16
baseline-operator,josecastillolema,Run stress-ng workloads on Kubernetes,https://github.com/josecastillolema/baseline-operator,0,0,1,2022-05-11
operator_sample,meiliangdeng,,https://github.com/meiliangdeng/operator_sample,0,0,1,2022-05-03
memcached-operator,par97,,https://github.com/par97/memcached-operator,0,0,1,2022-05-04
pod-operator,Fathi122,,https://github.com/Fathi122/pod-operator,0,0,1,2022-05-22
redis-operator,logan-an,,https://github.com/logan-an/redis-operator,0,0,1,2022-05-31
etcd-operator,imliuda,,https://github.com/imliuda/etcd-operator,1,0,1,2022-05-03
training-operator,SharpingCode,,https://github.com/SharpingCode/training-operator,0,0,1,2022-05-27
exec-operator,oxqo-hk,"Execute ""kubectl exec"" commands on multiple pods selected by custom resource",https://github.com/oxqo-hk/exec-operator,0,0,1,2022-05-31
fargate-operator,ParasJuneja,,https://github.com/ParasJuneja/fargate-operator,0,0,1,2022-05-31
sac-operator,odedpriva,,https://github.com/odedpriva/sac-operator,1,0,1,2022-05-19
etcd-operator,vasartori,,https://github.com/vasartori/etcd-operator,0,0,2,2022-05-26
traffic-operator,PKopel,Operator monitoring network usage on k8s worker nodes,https://github.com/PKopel/traffic-operator,0,1,1,2022-05-13
groover-operator,Noctember,,https://github.com/Noctember/groover-operator,0,0,1,2022-05-12
memcached-operator,sjoh0704,,https://github.com/sjoh0704/memcached-operator,0,0,1,2022-05-24
operator-demo,funlake,,https://github.com/funlake/operator-demo,0,0,1,2022-05-29
rsct-operator,mjturek,This repo is no longer is use in favor of github.com/ocp-power-automation/rsct-operator,https://github.com/mjturek/rsct-operator,0,0,1,2022-05-25
upgraded-operator,Jaanki,,https://github.com/Jaanki/upgraded-operator,0,0,1,2022-06-01
format-operator,pixiake,,https://github.com/pixiake/format-operator,0,0,1,2022-05-13
cic-operator,Karthik-K-N,,https://github.com/Karthik-K-N/cic-operator,0,0,1,2022-06-01
visitorsapp-operator,capitanFlint129,,https://github.com/capitanFlint129/visitorsapp-operator,0,0,1,2022-05-04
grafana-operator,tmax-cloud,,https://github.com/tmax-cloud/grafana-operator,0,0,0,2022-05-20
injector-operator,digitalnerd,,https://github.com/digitalnerd/injector-operator,0,0,2,2022-05-27
okta-operator,kanzifucius,,https://github.com/kanzifucius/okta-operator,1,0,1,2022-05-24
operator-demo,LostInAurora,,https://github.com/LostInAurora/operator-demo,0,0,1,2022-05-29
lxd-operator,AlexsJones,,https://github.com/AlexsJones/lxd-operator,0,1,2,2022-05-12
cninf-operator,aviadsTraiana,,https://github.com/aviadsTraiana/cninf-operator,0,0,1,2022-05-15
apimatic-codegen-operator,apimatic,RedHat OpenShift Certified Kubernetes Operator for deploying APIMatic CodeGen to Kubernetes and RedHat OpenShift clusters,https://github.com/apimatic/apimatic-codegen-operator,1,0,1,2022-05-31
capg-firewall-rule-operator,giantswarm,operator that generates additional firewall rules necessery for CAPG cluster with Giant swarm flavor,https://github.com/giantswarm/capg-firewall-rule-operator,0,0,11,2022-05-26
secret-mangler-operator,wreiner,Kubernetes operator to create dynamic secrets with other secrets data.,https://github.com/wreiner/secret-mangler-operator,0,0,1,2022-05-16
redis-backup-operator,tparsa,,https://github.com/tparsa/redis-backup-operator,0,0,1,2022-05-09
database-account-operator,miguelpoyatosmora,,https://github.com/miguelpoyatosmora/database-account-operator,0,0,1,2022-05-27
multi-tenancy-frontend-operator,balamuru,,https://github.com/balamuru/multi-tenancy-frontend-operator,0,0,1,2022-05-28
vm-controller-operator,daviderli614,,https://github.com/daviderli614/vm-controller-operator,0,0,1,2022-05-14
kubernetes-operator-proto,ryparker,Prototyping a custom Kubernetes Operator (GO),https://github.com/ryparker/kubernetes-operator-proto,0,0,1,2022-05-26
kube-healthcheck-operator,benmaguire,Kubernetes Operator to Health Check HTTP and MQ endpoints using annotations,https://github.com/benmaguire/kube-healthcheck-operator,0,0,1,2022-05-16
k8s-Operator-demo,CloudNativeLearn,,https://github.com/CloudNativeLearn/k8s-Operator-demo,0,0,0,2022-05-21
k8s-operators-training,aldan-ionos,,https://github.com/aldan-ionos/k8s-operators-training,0,0,1,2022-05-17
k8s-db-operator,razzie,Kubernetes operator to provide access to shared PostgreSQL and Redis,https://github.com/razzie/k8s-db-operator,0,0,1,2022-05-15
k8s-Operator-nginx,CloudNativeLearn,,https://github.com/CloudNativeLearn/k8s-Operator-nginx,0,0,0,2022-05-21
k3s-rt-operator,UNIVR-RT-Kube,,https://github.com/UNIVR-RT-Kube/k3s-rt-operator,0,0,1,2022-05-11
best-prometheus-operator-in-the-world,marieroque,,https://github.com/marieroque/best-prometheus-operator-in-the-world,0,0,1,2022-05-16
ibm-powervs-block-csi-driver-operator,ppc64le-cloud,Operator to install and maintain the IBM PowerVS Block CSI driver on an Openshift cluster.,https://github.com/ppc64le-cloud/ibm-powervs-block-csi-driver-operator,1,0,2,2022-05-13
bundle-controller,kubegems,A lite tool manager helm/kustomiza installation in kubernetes operator ways.,https://github.com/kubegems/bundle-controller,1,2,1,2022-05-16
k8s-controller-the-hard-way,lichuan0620,关注原理的 K8s controller 编写指南,https://github.com/lichuan0620/k8s-controller-the-hard-way,0,0,1,2022-05-10
alertmanager-controller,ekristen,A Prometheus Alertmanager Operator - Create Silences from Kubernetes Resource,https://github.com/ekristen/alertmanager-controller,0,0,1,2022-06-01
labelwatcher,hdkshingala,A kubernetes operator which validates Pods which are being edited and checks if the label from the Pod is not edited that is also used in a NetworkPolicy as a selector.,https://github.com/hdkshingala/labelwatcher,0,0,1,2022-05-02
fabric-operator,hyperledger-labs,Hyperledger Fabric Kubernetes Operator,https://github.com/hyperledger-labs/fabric-operator,26,41,13,2022-06-07
starrocks-kubernetes-operator,StarRocks,,https://github.com/StarRocks/starrocks-kubernetes-operator,26,37,7,2022-06-02
mariadb-operator,mariadb-operator,🦭 Run and operate MariaDB in a cloud native way,https://github.com/mariadb-operator/mariadb-operator,6,97,6,2022-06-16
operator-builder,nukleros,A Kubebuilder plugin to accelerate the development of Kubernetes operators,https://github.com/nukleros/operator-builder,7,38,2,2022-06-03
karmada-operator,karmada-io,,https://github.com/karmada-io/karmada-operator,10,10,5,2022-06-15
cloudflare-tunnel-operator,beezlabs-org,A kubernetes operator for creating Cloudflare tunnels in a cluster,https://github.com/beezlabs-org/cloudflare-tunnel-operator,5,16,3,2022-06-10
kogito-serverless-operator,kiegroup,Kubernetes operator for Kogito Serverless Workflow,https://github.com/kiegroup/kogito-serverless-operator,8,4,6,2022-06-22
frp-operator,zufardhiyaulhaq,Expose your service in Kubernetes to the Internet with open source FRP!,https://github.com/zufardhiyaulhaq/frp-operator,4,12,2,2022-06-11
compute-operator,stolostron,,https://github.com/stolostron/compute-operator,9,1,0,2022-06-10
stunner-gateway-operator,l7mp,STUNner Kubernetes Gateway Operator,https://github.com/l7mp/stunner-gateway-operator,3,7,4,2022-06-10
kernel-module-management,rh-ecosystem-edge,"The kernel module management operator builds, signs and loads kernel modules on OpenShift.",https://github.com/rh-ecosystem-edge/kernel-module-management,11,11,6,2022-06-03
k8s,forbearing,"The library implements various handlers to more easier create/update/apply/patch/delete/get/list/watch k8s resources such as pods, deployments, etc.  inside or outside k8s cluster.",https://github.com/forbearing/k8s,5,71,2,2022-06-30
cpe-operator,IBM,automated continuous benchmarking framework on Kubernetes,https://github.com/IBM/cpe-operator,4,2,6,2022-06-02
ibm-powervs-block-csi-driver-operator,openshift,Operator to install and maintain the IBM PowerVS Block CSI driver on an openshift cluster,https://github.com/openshift/ibm-powervs-block-csi-driver-operator,8,0,17,2022-06-23
test-operator,subns,test operator for learning purposes,https://github.com/subns/test-operator,5,0,1,2022-06-08
cluster-templates-operator,stolostron,,https://github.com/stolostron/cluster-templates-operator,4,2,2,2022-06-06
rds-dbaas-operator,RHEcosystemAppEng,,https://github.com/RHEcosystemAppEng/rds-dbaas-operator,6,0,3,2022-06-07
nifi-operator,RHEcosystemAppEng,Apache Nifi Operator for Openshift,https://github.com/RHEcosystemAppEng/nifi-operator,2,4,1,2022-06-20
vault-unsealer-operator,aamoyel,A Kubernetes Operator wrote in Go to auto unseal Vault instance or cluster.,https://github.com/aamoyel/vault-unsealer-operator,1,24,1,2022-06-30
autoheal-operator,bf2fc6cc711aee1a0c2a,An operator that is able to automatically heal issues when they occur. Uses metrics and thresholds to determine if an issue is happening and then uses scripts defined in an external respository to try to heal,https://github.com/bf2fc6cc711aee1a0c2a/autoheal-operator,3,0,4,2022-06-29
terraform-cloud-operator,hashicorp,Kubernetes Operator allows managing Terraform Cloud resources via Kubernetes Custom Resources.,https://github.com/hashicorp/terraform-cloud-operator,1,15,13,2022-06-21
ingress-node-firewall,openshift,"Ingress node firewall implements Kubernetes operator to provision stateless ingress node level firewall rules, stateless ingress node firewall implementation is done using eBPF XDP kernel plugin",https://github.com/openshift/ingress-node-firewall,13,7,12,2022-07-01
vault-operator,tuananh,Vault Operator for Kubernetes,https://github.com/tuananh/vault-operator,1,5,0,2022-06-29
taweret,SwissDataScienceCenter,A Kanister backup management system,https://github.com/SwissDataScienceCenter/taweret,0,7,2,2022-06-14
nextflow-k8s-operator,MNMdiagnostics,Kubernetes operator for Nextflow,https://github.com/MNMdiagnostics/nextflow-k8s-operator,1,3,3,2022-06-24
k8sOperator,oumkale,,https://github.com/oumkale/k8sOperator,0,4,1,2022-06-08
operator,clarechu,operator,https://github.com/clarechu/operator,0,0,1,2022-06-23
javaopts-operator,IBM,operator for benchmark testing of Java-based Knative applications,https://github.com/IBM/javaopts-operator,0,3,2,2022-06-29
yacht,dixudx,Most Light-weighted Kubernetes controller-runtime Framework,https://github.com/dixudx/yacht,0,8,1,2022-06-10
deletion-blocker-operator,giantswarm,A helper operator to block deletion of k8s objects by managing finalizers based on some defined rules,https://github.com/giantswarm/deletion-blocker-operator,0,3,10,2022-06-06
spaces-operator,SambaTV,Kubernetes operator to declaratively manage team RBAC spaces,https://github.com/SambaTV/spaces-operator,0,2,9,2022-06-21
kubeadm-operator,chendave,"POC of using operator to upgrade, cert renew, ca rotation etc.",https://github.com/chendave/kubeadm-operator,0,2,1,2022-06-08
DNS-Operator,SabariVig,Kubernetes DNS Operator,https://github.com/SabariVig/DNS-Operator,0,0,2,2022-06-30
fooOperator,undeadops,Creating a Custom Operator,https://github.com/undeadops/fooOperator,0,1,1,2022-06-18
memcached-operator,virtrixke,operator framework fun,https://github.com/virtrixke/memcached-operator,0,0,2,2022-06-19
kube-node-labeler,AhmedGrati,This is a Kubernetes Operator that manages nodes' attributes.,https://github.com/AhmedGrati/kube-node-labeler,0,2,2,2022-06-16
klovercloudcd-operator,klovercloud-ci-cd,Operator for klovercloudCD,https://github.com/klovercloud-ci-cd/klovercloudcd-operator,0,0,0,2022-06-29
fhe-operator,dcurran90,,https://github.com/dcurran90/fhe-operator,0,0,1,2022-06-21
webbrowsercloud-operator,webbrowsercloud,,https://github.com/webbrowsercloud/webbrowsercloud-operator,0,0,1,2022-06-20
octeon-operator,aravid-marvell,Stub For the Future Octeaon Operator - to support FW upgrade on Nodes with Octeon DPUs,https://github.com/aravid-marvell/octeon-operator,0,0,1,2022-06-21
scoped-operator,awgreene,A simple operator used to test some scoping options.,https://github.com/awgreene/scoped-operator,1,0,1,2022-06-15
operator-demo,aseara,,https://github.com/aseara/operator-demo,0,0,1,2022-06-09
gaia-operator,dcurran90,,https://github.com/dcurran90/gaia-operator,0,0,1,2022-06-21
flipper-operator,rajendragosavi,,https://github.com/rajendragosavi/flipper-operator,0,0,1,2022-06-23
dynatrace-operator,gridgentoo,,https://github.com/gridgentoo/dynatrace-operator,0,0,2,2022-06-14
geth-operator,ad869,,https://github.com/ad869/geth-operator,0,0,1,2022-06-24
tweet-operator,jonatanblue,,https://github.com/jonatanblue/tweet-operator,0,0,1,2022-06-19
githubissues-operator,mzeevi,,https://github.com/mzeevi/githubissues-operator,0,0,1,2022-06-19
ats-operator,iamjackhu,,https://github.com/iamjackhu/ats-operator,0,0,1,2022-06-18
podset-operator,pk-218,A Kubernetes operator that replicates the behaviour of ReplicaSet by scaling up/down pods and makes use of label selectors,https://github.com/pk-218/podset-operator,1,0,1,2022-06-08
memcached-operator,Ob18ad15,,https://github.com/Ob18ad15/memcached-operator,0,0,1,2022-06-15
redis-operator,zhizuqiu,,https://github.com/zhizuqiu/redis-operator,0,0,1,2022-06-27
sample-operator,swh0318,,https://github.com/swh0318/sample-operator,0,0,1,2022-06-04
weather-operator,singhiqbal1007,,https://github.com/singhiqbal1007/weather-operator,0,0,1,2022-06-05
memcached-operator,artongu,,https://github.com/artongu/memcached-operator,0,0,1,2022-06-29
web-operator,wangyongze01,,https://github.com/wangyongze01/web-operator,0,0,1,2022-06-24
dijetsgo-operator,lasthyphen,,https://github.com/lasthyphen/dijetsgo-operator,0,0,1,2022-06-24
cac-operator,hef,,https://github.com/hef/cac-operator,0,0,1,2022-06-26
memcached-operator,helen-frank,,https://github.com/helen-frank/memcached-operator,0,0,1,2022-06-21
memcached-operator,saurabhaahujaa,,https://github.com/saurabhaahujaa/memcached-operator,0,0,1,2022-06-30
injector-operator,esparig,Tutorial from https://www.youtube.com/watch?v=JNDjE9-2Bg4,https://github.com/esparig/injector-operator,0,0,1,2022-06-15
operatorsdk-example,pet2cattle,,https://github.com/pet2cattle/operatorsdk-example,0,1,1,2022-06-19
tfe-operator,OlegGorj,,https://github.com/OlegGorj/tfe-operator,0,0,1,2022-06-26
aws-peering-tags-operator,giantswarm,Tags VPC peering connection,https://github.com/giantswarm/aws-peering-tags-operator,0,0,6,2022-06-17
package-operator-packages,thetechnick,,https://github.com/thetechnick/package-operator-packages,0,0,2,2022-06-24
Kube-Operator-Sidecar,YokeCheng,实践通过Kubebuilder完成pod中增加sidecar的Operator功能,https://github.com/YokeCheng/Kube-Operator-Sidecar,0,1,1,2022-06-22
ac-sample-operator,jakobmoellerdev,,https://github.com/jakobmoellerdev/ac-sample-operator,0,0,1,2022-06-27
voxxed-days-go-operator,philippart-s,Source code for the Go operator talk at Voxxed Days Lux 2022,https://github.com/philippart-s/voxxed-days-go-operator,0,0,1,2022-06-06
hwcloud-aom-operator,gsgs-libin,,https://github.com/gsgs-libin/hwcloud-aom-operator,0,0,2,2022-06-30
cray-sample-subtenant-operator,Cray-HPE,,https://github.com/Cray-HPE/cray-sample-subtenant-operator,0,0,4,2022-06-16
memcached-operator-project,rajdeepc2792,,https://github.com/rajdeepc2792/memcached-operator-project,0,0,1,2022-06-06
my-multi-operator,sjoh0704,,https://github.com/sjoh0704/my-multi-operator,0,0,1,2022-06-13
linkerd-multus-attach-operator,ErmakovDmitriy,,https://github.com/ErmakovDmitriy/linkerd-multus-attach-operator,0,0,1,2022-06-26
permission-claim-operator,thetechnick,,https://github.com/thetechnick/permission-claim-operator,1,0,2,2022-06-24
breizh-camp-go-operator,philippart-s,Source code for Go operator for Breizh Camp,https://github.com/philippart-s/breizh-camp-go-operator,0,0,1,2022-06-20
placement-operator-trial,gibizer,,https://github.com/gibizer/placement-operator-trial,0,0,1,2022-06-23
hello-app-operator,h-mavrodiev,Kubernetes operator that deploys the hello-app - https://github.com/h-mavrodiev/hello-app,https://github.com/h-mavrodiev/hello-app-operator,0,0,1,2022-06-05
